category,metric,value,formula_or_source,evidence_file,evidence_status,confidence,slide_usefulness,notes
Kinematics and reachability,difficult square-above IK targets,"failed=['f8_above', 'e8_above', 'd8_above', 'c8_above'], marginal=['e7_above', 'd7_above', 'g8_above', 'b8_above']",Names where status is failed or marginal,data/debug/so101_square_ik_safety_recalibrated_fast.json,dry-run tested,high,high,These are mostly far-rank above-board targets.
Kinematics and reachability,IK square-above improvement from baseline to safety-recalibrated output,3.1 percentage points (84.4% to 87.5%),IK improvement = later success rate - earlier success rate,"[""data/debug/so101_square_ik.json"", ""data/debug/so101_square_ik_safety_recalibrated_fast.json""]",dry-run tested,medium,medium,"This is a comparison between saved report variants, not a controlled calibration experiment."
Kinematics and reachability,joint-limit audit violations,"{'ik_targets_audited': 130, 'targets_with_violations': 64, 'total_joint_rows': 650, 'total_joint_violations': 82, 'violations_per_joint': {'shoulder_pan': 0, 'shoulder_lift': 0, 'elbow_flex': 2, 'wrist_flex': 38, 'wrist_roll': 42}}",summary from audit report,data/debug/so101_joint_limit_audit.json,dry-run tested,high,medium,Audit of IK output against software tick ranges.
Servo calibration and safety,servos / joints represented,"6 (elbow_flex, gripper, shoulder_lift, shoulder_pan, wrist_flex, wrist_roll)",Count of servo_map.joints,data/calibration/robot/servo_map.yaml,implemented only,high,high,"Five arm joints plus gripper are mapped to IDs [3, 6, 2, 1, 4, 5]."
Servo calibration and safety,servo-to-joint mapping coverage,100.0%,Coverage = mapped joints / required six robot joints x 100,data/calibration/robot/servo_map.yaml,implemented only,high,medium,Required set assumed as five arm joints plus gripper.
Servo calibration and safety,arm joint safety limits available,"100.0% (elbow_flex, shoulder_lift, shoulder_pan, wrist_flex, wrist_roll)",Coverage = safety-limited arm joints / active arm-chain joints x 100,data/calibration/robot/joint_safety_limits.yaml,implemented only,high,high,"The gripper limit is in joint_limits.yaml/gripper_profile.yaml, not joint_safety_limits.yaml."
Servo calibration and safety,home pose availability,"100.0% (elbow_flex, gripper, shoulder_lift, shoulder_pan, wrist_flex, wrist_roll)",Coverage = home-pose joints / required six robot joints x 100,data/calibration/robot/home_pose.yaml,physically validated,high,high,Home pose source is live_read.
Servo calibration and safety,tick-to-angle calibration method,manual_robot_alignment_to_urdf_zero_pose,joint_calibration.calibration_method,data/calibration/robot/joint_calibration.yaml,implemented only,high,medium,Calibration file is marked provisional=True.
Servo calibration and safety,zero tick values,"{'shoulder_pan': 2075, 'elbow_flex': 1996, 'shoulder_lift': 2091, 'wrist_flex': 2003, 'wrist_roll': 2116}",joint_calibration.joints[*].zero_tick by urdf_joint,data/calibration/robot/joint_calibration.yaml,implemented only,high,medium,ticks_per_rev=4096
Servo calibration and safety,converted arm safety ranges,"shoulder_pan=[-105.4,88.2]deg; shoulder_lift=[-108.5,100.3]deg; elbow_flex=[-94.3,91.8]deg; wrist_flex=[-97.5,87.7]deg; wrist_roll=[-175.4,163.7]deg",angle_deg = (tick - zero_tick) x 360 / ticks_per_rev,"[""data/calibration/robot/joint_safety_limits.yaml"", ""data/calibration/robot/joint_calibration.yaml""]",implemented only,medium,medium,Direction sign is +1 for listed arm calibration joints.
Safe transfer and motion primitives,staged transfer validation trials,54 total: dry_run=31 execute=23,Rows in safe_square_transfer_validation.csv grouped by mode,data/logs/safe_square_transfer_validation.csv,physically validated,high,high,CSV includes both successful and failed development validation trials.
Safe transfer and motion primitives,staged transfer success rate overall,68.5% (37/54),Success rate = non-aborted trials / total trials x 100,data/logs/safe_square_transfer_validation.csv,physically validated,high,high,
Safe transfer and motion primitives,staged transfer dry-run success rate,90.3% (28/31),Success rate = non-aborted dry-run trials / dry-run trials x 100,data/logs/safe_square_transfer_validation.csv,dry-run tested,high,medium,
Safe transfer and motion primitives,staged transfer execute success rate,39.1% (9/23),Success rate = non-aborted execute trials / execute trials x 100,data/logs/safe_square_transfer_validation.csv,physically validated,high,high,"This includes historical failed/unsafe attempts, not only the final selected primitive."
Safe transfer and motion primitives,aborted staged transfer trials,31.5% (17/54),Error rate = aborted trials / total trials x 100,data/logs/safe_square_transfer_validation.csv,failed/unsafe,high,high,"Abort reasons include IK failure, path-low-zone violations, readback tolerance failures, and bus busy."
Safe transfer and motion primitives,abort reason frequencies,"{'XY-changing board motion predicted min z 0.079919 m below low zone 0.086000 m.': 1, 'shoulder_lift final tick 2279 outside target 2198 +/- 80.': 1, 'XY-changing board motion predicted min z 0.065234 m below low zone 0.086000 m.': 1, 'IK failed: max_iters': 3, 'XY-changing board motion predicted min z 0.081504 m below low zone 0.086000 m.': 1, 'shoulder_lift final tick 2429 outside target 2335 +/- 80.': 1, 'Current position readback failed for wrist_roll.': 1, ""Could not open servo bus port '/dev/serial/by-id/usb-1a86_USB_Single_Serial_5AB0182700-if00': [Errno 16] Device or resource busy: '/dev/serial/by-id/usb-1a86_USB_Single_Serial_5AB0182700-if00'"": 1, 'XY-changing board motion predicted min z 0.081566 m below low zone 0.086000 m.': 1, 'XY-changing board motion predicted min z 0.079800 m below low zone 0.086000 m.': 1, 'XY-changing board motion predicted min z 0.080008 m below low zone 0.086000 m.': 1, 'XY-changing board motion predicted min z 0.074902 m below low zone 0.086000 m.': 1, 'XY-changing board motion predicted min z 0.072188 m below low zone 0.086000 m.': 1, 'shoulder_lift final tick 2892 outside target 2765 +/- 120.': 1, 'XY-changing board motion predicted min z 0.082293 m below low zone 0.086000 m.': 1}",Frequency count of abort_reason for aborted rows,data/logs/safe_square_transfer_validation.csv,failed/unsafe,high,medium,
Safe transfer and motion primitives,minimum sampled path Z and worst clearance margin,0.0652 m; margin=-0.0208 m,Clearance margin = measured/path min Z - low_zone_z; low_zone_z=0.086 m,data/logs/safe_square_transfer_validation.csv,failed/unsafe,high,high,"Worst row is below the configured low-zone threshold, explaining abort behaviour."
Safe transfer and motion primitives,maximum staged-transfer IK residual,6.064 mm,Max of max_ik_error_mm over CSV rows,data/logs/safe_square_transfer_validation.csv,physically validated,high,medium,
Servo calibration and safety,single-IK validation log entries,438 total: dry_run=248 execute=190,Rows in single_ik_pose_validation.csv grouped by mode,data/logs/single_ik_pose_validation.csv,physically validated,high,medium,Log includes synthetic safety cases and historical abort checks.
Servo calibration and safety,single-IK command_sent count,146 / 438,Count rows where command_sent=True,data/logs/single_ik_pose_validation.csv,physically validated,high,medium,
Servo calibration and safety,single-IK IK success rate,96.1% (421/438),Success rate = ik_success rows / total rows x 100,data/logs/single_ik_pose_validation.csv,physically validated,high,medium,Includes dry-run and execute rows.
Servo calibration and safety,single-IK abort records,21.0% (92/438),Error rate = rows with abort_reason / total rows x 100,data/logs/single_ik_pose_validation.csv,failed/unsafe,high,medium,Some aborts are intentionally synthetic tests.
Servo calibration and safety,single-IK readback tolerance failures,5,Count abort_reason containing outside target,data/logs/single_ik_pose_validation.csv,failed/unsafe,high,medium,
Servo calibration and safety,single-IK safety-limit aborts,17,Count abort_reason containing outside safety limits,data/logs/single_ik_pose_validation.csv,failed/unsafe,high,medium,
Safe transfer and motion primitives,safe-transfer segment success count in JSON artefacts,225 / 235,Count segments with no abort_reason and ik_success not false,"[""data/debug/recover_home_a1_high_execute.json"", ""data/debug/recover_home_dryrun.json"", ""data/debug/recover_home_e4_high_execute.json"", ""data/debug/safe_transfer_a1_dryrun.json"", ""data/debug/safe_transfer_a1_high_above_only_dryrun.json"", ""data/debug/safe_transfer_a1_high_above_only_execute.json"", ""data/debug/safe_transfer_a1_high_above_recovery_test_execute.json"", ""data/debug/safe_transfer_a1_policy_dryrun.json"", ""data/debug/safe_transfer_a1_policy_execute.json"", ""data/debug/safe_transfer_a1_return_home_timing_execute.json""]",physically validated,medium,medium,Segment count spans dry-run and execute JSON artefacts.
Safe transfer and motion primitives,path validation pass/fail counts,"pass=229, fail=6, total=235",Count segment.path_validation.passed values,"[""data/debug/recover_home_a1_high_execute.json"", ""data/debug/recover_home_dryrun.json"", ""data/debug/recover_home_e4_high_execute.json"", ""data/debug/safe_transfer_a1_dryrun.json"", ""data/debug/safe_transfer_a1_high_above_only_dryrun.json"", ""data/debug/safe_transfer_a1_high_above_only_execute.json"", ""data/debug/safe_transfer_a1_high_above_recovery_test_execute.json"", ""data/debug/safe_transfer_a1_policy_dryrun.json"", ""data/debug/safe_transfer_a1_policy_execute.json"", ""data/debug/safe_transfer_a1_return_home_timing_execute.json""]",physically validated,medium,high,
Safe transfer and motion primitives,piece-aware high clearance requirement,"5 passed / 5; requirement rows=[(0.054, 0.04, 0.094)]",Piece-aware high requirement = piece_height_m + piece_clearance_margin_m,"[""data/debug/safe_transfer_a1_high_above_only_dryrun.json"", ""data/debug/safe_transfer_a1_high_above_only_execute.json"", ""data/debug/safe_transfer_a1_high_above_recovery_test_execute.json"", ""data/debug/safe_transfer_e4_high_above_only_execute.json"", ""data/debug/safe_transfer_e4_high_above_recovery_test_execute.json""]",physically validated,high,high,Recorded piece_height_m=0.054 and margin=0.040 give required offset 0.094 m.
Safe transfer and motion primitives,high-above-only physical trials,2 / 2 succeeded,Success rate = successful high-above-only execute logs / high-above-only execute logs x 100,"[""data/debug/safe_transfer_a1_high_above_only_execute.json"", ""data/debug/safe_transfer_e4_high_above_only_execute.json""]",physically validated,high,high,Uses stop_at=high_above and high_above_only filenames.
Safe transfer and motion primitives,high-above recovery-test physical trials,2 / 2 succeeded,Success rate = successful recovery-test execute logs / recovery-test execute logs x 100,"[""data/debug/safe_transfer_a1_high_above_recovery_test_execute.json"", ""data/debug/safe_transfer_e4_high_above_recovery_test_execute.json""]",physically validated,high,medium,
Safe transfer and motion primitives,normal-above/full transfer execute logs,"4 succeeded, 7 failed/aborted",Counts execute logs containing target_normal_above segment,"[""data/debug/safe_transfer_e4_policy_execute.json"", ""data/debug/safe_transfer_e4_return_home_execute.json"", ""data/debug/safe_transfer_e4_return_home_timing_execute.json"", ""data/debug/safe_transfer_e4_vertical_approach_execute.json"", ""data/debug/safe_transfer_a1_policy_execute.json"", ""data/debug/safe_transfer_a1_return_home_timing_execute.json"", ""data/debug/safe_transfer_a1_route_return_execute.json"", ""data/debug/safe_transfer_a1_seeded_achieved_reverse_replay_execute.json"", ""data/debug/safe_transfer_a1_seeded_execute.json"", ""data/debug/safe_transfer_a1_seeded_reverse_replay_execute.json"", ""data/debug/safe_transfer_e3_route_return_execute.json""]",physically validated,high,high,A1 and E3 route/return attempts show low-zone or readback aborts; E4 full route variants succeeded.
Safe transfer and motion primitives,return-home segment physical success logs,4,Count successful execute logs containing home_high or home_pose segments,"[""data/debug/safe_transfer_e4_policy_execute.json"", ""data/debug/safe_transfer_e4_return_home_execute.json"", ""data/debug/safe_transfer_e4_return_home_timing_execute.json"", ""data/debug/safe_transfer_e4_vertical_approach_execute.json""]",physically validated,high,high,
Safe transfer and motion primitives,route-return physical trials,0 / 2 succeeded,Success rate = successful route_return execute logs / route_return execute logs x 100,"[""data/debug/safe_transfer_a1_route_return_execute.json"", ""data/debug/safe_transfer_e3_route_return_execute.json""]",failed/unsafe,high,medium,Both route-return execute artefacts aborted in current logs.
Safe transfer and motion primitives,recovery-to-home execute success rate,100.0% (2/2),Success rate = successful recovery execute logs / recovery execute logs x 100,"[""data/debug/recover_home_a1_high_execute.json"", ""data/debug/recover_home_e4_high_execute.json""]",physically validated,high,high,"Recovered target names from filenames: ['a1', 'e4']."
Safe transfer and motion primitives,recovery frequency relative to staged transfer CSV trials,3.7% (2/54),Recovery frequency = recovery events / total staged transfer trials x 100,"[""data/debug/recover_home_a1_high_execute.json"", ""data/debug/recover_home_e4_high_execute.json"", ""data/logs/safe_square_transfer_validation.csv""]",physically validated,medium,medium,Denominator is the staged-transfer CSV population; recovery events are dedicated recovery JSON artefacts.
Robot-square and gripper calibration,model-tested board squares,64,64 chessboard squares in generated reachability and IK target sets,"[""data/debug/so101_square_reachability.json"", ""data/debug/so101_square_ik_safety_recalibrated_fast.json""]",dry-run tested,high,high,
Robot-square and gripper calibration,square target table coverage,64 squares: manual=16 generated=48,Coverage = square target entries / 64 x 100 = 100.0%,data/calibration/robot/square_targets.yaml,implemented only,high,high,Generated poses are marked as requiring manual validation.
Robot-square and gripper calibration,squares with approach policy overrides,0,Count approach_policy.squares,data/calibration/robot/approach_policy.yaml,implemented only,high,medium,Default approach policy is present; no square-specific overrides currently configured.
Robot-square and gripper calibration,squares with IK seed poses,"3 configured, 1 with seed_ticks (a1)",Count ik_seed_poses.squares and non-empty seed_ticks,data/calibration/robot/ik_seed_poses.yaml,implemented only,high,medium,Only a1 currently has non-empty seed ticks.
Robot-square and gripper calibration,squares physically tested with single-IK above commands,"33 unique squares (a1, a2, a3, a4, a5, a6, a7, a8, b4, c3, c4, c5, d1, d4, e1, e2, e3, e4, e5, e6, e8, f4, f8, g3, g4, g8, h1, h3, h4, h5, h6, h7, h8)",Unique square names from successful single_ik_pose_*_above*_execute.json with command_sent=True,"[""data/debug/single_ik_pose_home_return_after_a8_locked_execute.json"", ""data/debug/single_ik_pose_home_return_after_e4_locked_execute.json"", ""data/debug/single_ik_pose_h1_above_wristroll_locked_execute.json"", ""data/debug/single_ik_pose_g3_above_wristroll_locked_execute.json"", ""data/debug/single_ik_pose_home_return_after_e8_locked_execute.json"", ""data/debug/single_ik_pose_f4_above_wristroll_locked_execute.json"", ""data/debug/single_ik_pose_a1_above_wristroll_locked_execute.json"", ""data/debug/single_ik_pose_home_return_after_a1_locked_execute.json"", ""data/debug/single_ik_pose_home_return_after_h8_locked_execute.json"", ""data/debug/single_ik_pose_d4_above_execute.json"", ""data/debug/single_ik_pose_home_return_after_g3_locked_execute.json"", ""data/debug/single_ik_pose_a3_above_wristroll_locked_execute.json"", ""data/debug/single_ik_pose_home_return_after_e1_locked_execute.json"", ""data/debug/single_ik_pose_e2_above_wristroll_locked_execute.json"", ""data/debug/single_ik_pose_home_return_after_e6_locked_execute.json"", ""data/debug/single_ik_pose_a4_above_wristroll_locked_execute.json"", ""data/debug/single_ik_pose_h8_above_wristroll_locked_execute.json"", ""data/debug/single_ik_pose_f8_above_wristroll_locked_execute.json"", ""data/debug/single_ik_pose_e1_above_wristroll_locked_execute.json"", ""data/debug/single_ik_pose_h4_above_wristroll_locked_execute.json""]",physically validated,high,high,"This validates above-square positioning commands, not grasping or placement accuracy."
Robot-square and gripper calibration,physical above-square joint-space motions,"7 successful stage motions over 6 unique squares (a1, a8, c3, c4, h1, h8)",Count per_square_results where status=ok in square_above_motion*_real.json,"[""data/debug/square_above_motion_c3_real.json"", ""data/debug/square_above_motion_c4_real.json"", ""data/debug/square_above_motion_corner_loop_real.json""]",physically validated,high,high,Maximum observed final tick error among these logs: 52.000 ticks.
Robot-square and gripper calibration,gripper frame / tool frame status,"default_tcp=gripper_frame, frames=['fixed_jaw_contact', 'gripper_frame', 'held_piece_center']",tool_frames.yaml,data/calibration/gripper/tool_frames.yaml,implemented only,high,medium,Nominal gripper_frame is zero-offset; fixed/moving jaw contact frames are defined.
Robot-square and gripper calibration,gripper profile status,calibrated_after_lerobot_recalibration,gripper.calibration_status,data/calibration/gripper/gripper_profile.yaml,implemented only,high,medium,"Configured positions include grasp, pre-grasp, release, neutral and open."
Robot-square and gripper calibration,open-loop pick/place artefacts,"real_success=1/1, dry_run=2, stage_statuses={'dry_run': 23, 'ok': 11, 'waiting': 6}",Counts open_loop_pick_place*.json,"[""data/debug/open_loop_pick_place_c3_c3_dry_run.json"", ""data/debug/open_loop_pick_place_c3_c3_real.json"", ""data/debug/open_loop_pick_place_e7_e5_home_dry_run.json""]",physically validated,medium,medium,The real artefact is c3 to c3 with staged gripper/arm commands; it is not evidence of pawn success rate.
Vision/perception/chess logic,overhead camera calibration,"20 samples, reprojection_rmse_px=0.677",sample_count and reprojection_rmse_px,data/calibration/cameras/overhead_calibration.json,physically validated,high,medium,Fisheye calibration image size 1280x720.
Vision/perception/chess logic,wrist camera calibration,"20 samples, reprojection_rmse_px=0.476",sample_count and reprojection_rmse_px,data/calibration/cameras/wrist_calibration.json,physically validated,high,medium,"Calibration exists, but no visual-servo performance metric is evidenced."
Vision/perception/chess logic,board calibration coverage,"64 squares, 9x9 manual grid",Coverage = board profile squares / 64 x 100 = 100.0%,data/calibration/board/board_profile.yaml,physically validated,high,medium,Board orientation is robot_black_side.
Vision/perception/chess logic,changed-square acceptance scenarios,5 / 5 passed,Success rate = passed scenarios / total scenarios x 100 = 100.0%,data/debug/changed_square_acceptance/20260518_191453/acceptance_summary.json,physically validated,high,medium,"Scenarios cover empty baseline, add, remove, move, and uncertain handling smoke."
Vision/perception/chess logic,move/add/remove transition inference,3 / 3 expected transitions passed,Success rate = expected transition passes / expected transitions x 100,data/debug/changed_square_acceptance/20260518_191453/acceptance_summary.json,physically validated,high,medium,Includes e2 to e4 move inference.
Vision/perception/chess logic,real e2e4 move inference and commit,unique,accepted_move=e2e4 committed=True,data/debug/test_real_e2e4_committed_result.json,physically validated,high,medium,A single real move inference was committed to FEN/history.
Vision/perception/chess logic,dry-run demo-game rows,2 / 2 execution+verification successful,Success rate = successful dry-run demo rows / total demo rows x 100,data/logs/demo_game.csv,dry-run tested,high,medium,Both logged rows are dry_run mode.
Vision/perception/chess logic,movebook physical sequence progress,1 / 1 attempted moves succeeded; planned coverage=25.0%,Success rate = execution_success / attempted; Coverage = records / move_total x 100,data/debug/movebook_physical_sequence_last.json,physically validated,high,high,One real robot move record exists from a planned four-move sequence.
Missing metrics,External ground-truth TCP or piece placement error per square,not evidenced,Record measured TCP or piece centre error for a representative square set using camera/AprilTag/ruler ground truth.,,not evidenced,high,high,Separates modelled IK residual from physical positioning accuracy at the chessboard.
Missing metrics,Pawn grasp success rate,not evidenced,Repeated pawn pick/place trials by square and piece colour with success/failure and failure mode.,,not evidenced,high,high,"The chess task requires reliable grasping, and current logs do not quantify pawn pick success."
Missing metrics,Full 64-square physical transfer coverage,not evidenced,"Per-square safe transfer attempts with mode, square, command_sent, aborted, abort_reason, min_path_z_m, and readback error.",,not evidenced,high,high,"Model-tested coverage is complete, but physical validation currently covers a subset of squares and primitives."
Missing metrics,Capture-zone physical pick/place success,not evidenced,Physical transfer trials to and from capture zone with piece present and command/readback records.,,not evidenced,high,high,Capture handling is part of chess move execution but only model reachability/IK evidence was found.
Missing metrics,Visual servo correction error reduction,not evidenced,Before/after wrist-camera alignment error in pixels and mm over repeated trials.,,not evidenced,high,high,Discussion claims that IK is coarse positioning need a quantitative next-subsystem target.
Missing metrics,Hand-eye calibration transform and residual,not evidenced,Solved hand-eye transform file plus reprojection/pose residuals from calibration samples.,,not evidenced,high,high,"Wrist camera calibration exists, but robot-to-camera transform quality is not evidenced."
Missing metrics,End-to-end physical game success rate,not evidenced,"Multiple physical game or movebook sequences with planned moves, attempted moves, completed moves, failures, and verification.",,not evidenced,high,high,"The repo has one physical movebook record, not enough to claim full game reliability."
Missing metrics,Representative recovery success after induced aborts,not evidenced,"For every abort class, log whether recovery was needed, attempted, and completed.",,not evidenced,high,high,"Recovery-to-home logs are successful, but the denominator over realistic abort conditions is not established."
Missing metrics,Readback tolerance distribution by joint after physical commands,not evidenced,"Per-command target ticks, final readback ticks, error ticks, tolerance, and joint name.",,not evidenced,high,high,Several aborts are readback-related; distribution by joint would support safety-limit tuning.
